,expt_n,environment,environment_info,data_file,model_file,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file_tested
0,0,SS,Simulated Dasic 2006 - simple (NT) state - NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_NoNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.993333333,0.68,0.805672693,0.908002543,0.021081851,0.063245553,0.043960568,0.025093203,0,0,0,0,0,0,0,0,0.49608637,0.975,0.65752971,0.550108645,0.010710599,0.035355339,0.016866333,0.012537213,0.512738179,0.49,0.500234795,0.507430556,0.123219676,0.126491106,0.122969968,0.122574658,models/RF_Model_Dasic_NoNBD.mdl
1,1,SS,Simulated Dasic 2006 - simple (NT) state - LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_LowNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.952670807,0.965,0.958138953,0.954702381,0.04209853,0.024152295,0.022626896,0.033575881,0.490366541,0.485,0.483915813,0.486881441,0.098421609,0.122587837,0.102144919,0.098018358,0.5,0.035,0.064935065,0.133928571,0.471404521,0.033747428,0.062032281,0.12568313,0.594052675,0.585,0.585251988,0.589551675,0.100082552,0.097325342,0.079590936,0.08846708,models/RF_Model_Dasic_LowNBD.mdl
2,2,SS,Simulated Dasic 2006 - simple (NT) state - HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_HighNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.848891869,0.975,0.907144822,0.871182178,0.031503135,0.026352314,0.020864503,0.026610622,0.391439394,0.18,0.243041221,0.310760073,0.152176608,0.097752522,0.122809537,0.141962526,0.498579349,0.97,0.658499698,0.552211274,0.015982854,0.048304589,0.023934586,0.018334628,0.626972702,0.62,0.621103997,0.623982333,0.083114525,0.111055542,0.088934241,0.082484012,models/RF_Model_Dasic_HighNBD.mdl
3,3,SS,PHM C01 simple (NT) NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_NoNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.836294466,0.985,0.904072284,0.862051861,0.03988491,0.024152295,0.026809943,0.034655412,0.486469609,0.33,0.392022553,0.443201461,0.143366267,0.105934991,0.120331147,0.132418821,0.166666667,0.015,0.026915114,0.052083333,0.36004115,0.033747428,0.059695345,0.112512859,0.575969994,0.69,0.62485555,0.593991579,0.069586556,0.102198065,0.070843749,0.067326305,models/RF_Model_PHM_C01_SS_NoNBD.mdl
4,4,SS,PHM C01 simple (NT) LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_LowNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.916125792,0.86,0.885796088,0.903372759,0.031986643,0.06146363,0.035513444,0.027558358,0.523051465,0.615,0.561192445,0.53686938,0.059120854,0.105540935,0.065869204,0.058379308,0.498504274,0.975,0.65956486,0.552453241,0.011748899,0.048591266,0.02091493,0.014417017,0.4801221,0.325,0.384336472,0.435104625,0.031710101,0.071686044,0.058114956,0.04244253,models/RF_Model_PHM_C01_SS_LowNBD.mdl
5,5,SS,PHM C01 simple (NT) HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_HighNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.748881975,0.89,0.811873764,0.77258359,0.059919181,0.039440532,0.038380245,0.051134994,0.500567262,0.48,0.488219047,0.495104798,0.08573661,0.085634884,0.079411437,0.081677123,0.416666667,0.03,0.055053642,0.111607143,0.466468212,0.034960295,0.062726974,0.122561003,0.499484127,0.22,0.301482439,0.392360213,0.134921419,0.088819417,0.105337092,0.117711354,models/RF_Model_PHM_C01_SS_HighNBD.mdl
6,6,SS,PHM C04 simple (NT) NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_NoNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.809395011,0.96,0.87734404,0.835088687,0.057503462,0.045946829,0.044291337,0.051732418,0.519866771,0.655,0.578316853,0.541543148,0.053825744,0.072456884,0.053951415,0.052777081,0.103174603,0.035,0.051969742,0.073728355,0.090952981,0.033747428,0.048502047,0.06669386,0.333333333,0.085,0.133956044,0.207022145,0.255917618,0.066874675,0.102440757,0.155763526,models/RF_Model_PHM_C04_SS_NoNBD.mdl
7,7,SS,PHM C04 simple (NT) LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_LowNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.712916123,0.97,0.821128467,0.752475533,0.049702609,0.034960295,0.039864025,0.046140669,0.459960317,0.4,0.425010257,0.444361505,0.086707626,0.081649658,0.076481088,0.079369327,0.2,0.015,0.027705628,0.056547619,0.421637021,0.033747428,0.061870948,0.124265605,0.503054481,0.475,0.485917382,0.49534632,0.080445391,0.141911553,0.109966126,0.091593064,models/RF_Model_PHM_C04_SS_LowNBD.mdl
8,8,SS,PHM C04 simple (NT) HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_HighNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.801552042,0.88,0.837851532,0.815461068,0.060965006,0.075277265,0.059648398,0.058812599,0.498648649,0.975,0.659768064,0.552624459,0.011306571,0.035355339,0.017225302,0.013052557,0.509176788,0.99,0.672413793,0.563931466,0.01385851,0.021081851,0.015467891,0.01445261,0.54976248,0.625,0.582793077,0.562059394,0.066565417,0.079056942,0.062311566,0.062917663,models/RF_Model_PHM_C04_SS_HighNBD.mdl
9,9,SS,PHM C06 simple (NT) NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,models/RF_Model_PHM_C06_SS_NoNBD.mdl,PHM_C06_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,1,0.655,0.786800096,0.900115638,0,0.109163486,0.079949138,0.042358436,0.463110774,0.46,0.460155627,0.461588941,0.068739786,0.080966385,0.070197308,0.068102847,0.498513696,0.965,0.657332841,0.551838988,0.015645474,0.047434165,0.024107498,0.018227624,0.528643947,0.575,0.547683476,0.535421531,0.098730409,0.111180534,0.096472216,0.096164474,models/RF_Model_PHM_C06_SS_NoNBD.mdl
