,expt_n,environment,environment_info,data_file,model_file,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file_tested
0,0,SS,Simulated Dasic 2006 - simple (NT) state - NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_NoNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,1,0.59,0.740197516,0.875908368,0,0.065828059,0.05212805,0.029398609,0.525861054,0.61,0.562134134,0.539236741,0.077533309,0.039440532,0.050884402,0.066613768,0.019115972,0.02,0.019530063,0.019275285,0.032741268,0.034960295,0.033772845,0.033136228,0.346547619,0.09,0.141282954,0.216907051,0.224597881,0.051639778,0.082443452,0.130944759,models/RF_Model_Dasic_NoNBD.mdl
1,1,SS,Simulated Dasic 2006 - simple (NT) state - LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_LowNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.960634921,0.93,0.944046937,0.953674052,0.038003638,0.042163702,0.023672271,0.028502763,0,0,0,0,0,0,0,0,0.055833333,0.025,0.034499179,0.044734432,0.059149928,0.026352314,0.036382657,0.047251254,0.271309524,0.08,0.122494098,0.181245144,0.193332136,0.05868939,0.087995824,0.128078408,models/RF_Model_Dasic_LowNBD.mdl
2,2,SS,Simulated Dasic 2006 - simple (NT) state - HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_HighNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.881413514,0.985,0.92975595,0.900016052,0.046744182,0.024152295,0.030412108,0.040143643,0.509045611,0.605,0.54905244,0.523510914,0.051004708,0.116547558,0.067328448,0.052779259,0.35,0.03,0.054978355,0.110119048,0.411636301,0.034960295,0.063853425,0.127084843,0.258333333,0.055,0.090083612,0.146780303,0.214770909,0.049721446,0.080146868,0.127310815,models/RF_Model_Dasic_HighNBD.mdl
3,3,SS,PHM C01 simple (NT) NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_NoNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.963203463,0.985,0.973008976,0.96686989,0.041884344,0.033747428,0.021434346,0.03166586,0.473728614,0.69,0.560997794,0.50504483,0.058733117,0.104880885,0.074336822,0.06385797,0.50391363,0.98,0.665456745,0.558094441,0.012461864,0.034960295,0.016703439,0.013594415,0.467975306,0.38,0.414584657,0.44347261,0.120828379,0.145678489,0.128215748,0.121304065,models/RF_Model_PHM_C01_SS_NoNBD.mdl
4,4,SS,PHM C01 simple (NT) LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_LowNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.891551887,0.885,0.887146491,0.889519728,0.061573415,0.062583278,0.052853292,0.05606938,0.528977496,0.94,0.676500961,0.579474099,0.027692909,0.045946829,0.028950601,0.027938568,0.505264982,0.98,0.666647185,0.559425232,0.009203267,0.025819889,0.010814077,0.00946978,0.424195755,0.3,0.348773309,0.389330514,0.09311655,0.097182532,0.09296681,0.090899228,models/RF_Model_PHM_C01_SS_LowNBD.mdl
5,5,SS,PHM C01 simple (NT) HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_HighNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.737304436,0.95,0.829837669,0.77165656,0.029026285,0.033333333,0.024934811,0.026909423,0.5,1,0.666666667,0.555555556,0,0,0,0,0.652588326,0.985,0.784892157,0.699747475,0.01574757,0.024152295,0.014799445,0.015060625,0.505361754,0.475,0.486236381,0.496461831,0.077370804,0.120761473,0.095151937,0.082216237,models/RF_Model_PHM_C01_SS_HighNBD.mdl
6,6,SS,PHM C04 simple (NT) NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_NoNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.919813665,0.955,0.936681792,0.926401099,0.05800106,0.043779752,0.047540254,0.053378845,0.487443258,0.52,0.498184329,0.490339612,0.074334092,0.122927259,0.086981402,0.075025863,0.646048387,0.985,0.780217195,0.693758044,0.01565515,0.024152295,0.016902759,0.015931942,0.493172548,0.425,0.452380488,0.474585794,0.101637384,0.116069902,0.105028435,0.100525957,models/RF_Model_PHM_C04_SS_NoNBD.mdl
7,7,SS,PHM C04 simple (NT) LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_LowNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.757698006,0.98,0.85434007,0.793557367,0.033905025,0.025819889,0.027505473,0.031435812,0.530367063,0.56,0.542083919,0.534413853,0.081641741,0.104880885,0.080536022,0.078437362,0.494802495,0.965,0.653997281,0.548159073,0.006712932,0.04116363,0.013844514,0.008431364,0.555092872,0.545,0.546235029,0.550630186,0.088573339,0.12349089,0.093645284,0.087141034,models/RF_Model_PHM_C04_SS_LowNBD.mdl
8,8,SS,PHM C04 simple (NT) HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_HighNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.758891711,0.78,0.767206918,0.761711341,0.042411448,0.078881064,0.047834973,0.040266301,0.446107991,0.385,0.40837226,0.428560281,0.063819951,0.124833222,0.095444037,0.075528528,0.3,0.02,0.037229437,0.077380952,0.483045892,0.034960295,0.064410257,0.131012492,0.540714286,0.125,0.187063492,0.278739316,0.322652871,0.116069902,0.151485076,0.180384752,models/RF_Model_PHM_C04_SS_HighNBD.mdl
9,9,SS,PHM C06 simple (NT) NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,models/RF_Model_PHM_C06_SS_NoNBD.mdl,PHM_C06_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.9875,0.53,0.686060765,0.837743663,0.039528471,0.097752522,0.089621936,0.068145411,0.490092169,0.495,0.490917422,0.490056668,0.088398232,0.092646281,0.084265831,0.085398207,0.333333333,0.02,0.037267081,0.078125,0.471404521,0.025819889,0.048170955,0.101973439,0.294285714,0.055,0.09125194,0.152926587,0.242652679,0.043779752,0.072470091,0.121611332,models/RF_Model_PHM_C06_SS_NoNBD.mdl
